Cod;Municipio;poblacion;VARIACIÓN 2018-2019;% HOMBRES;% MUJERES;EDAD_MEDIA;T_DEPENDENCIA;% POB. 0-14 AÑOS;% POB. 80 Y + AÑOS;% POB EXTRANJERA;% POB. EUROPA;% POB. ÁFRICA;% POB. AMÉRICA;% POB. ASIA;% POB. OCEANÍA
1;Abáigar;83;-4,6;57,8;42,2;51,2;56,6;3,6;9,6;0;0;0;0;0;0
2;Abárzuza / Abartzuza;538;-2,2;49,3;50,7;46,3;69,2;14,9;12,8;2,4;61,5;15,4;23,1;0;0
3;Abaurregaina / Abaurrea alta;126;4,1;61,1;38,9;55,7;85,3;6,3;11,9;0;0;0;0;0;0
4;Abaurrepea / Abaurrea baja;32;-3;59,4;40,6;57,8;77,8;0;12,5;0;0;0;0;0;0
5;Aberin;359;0,8;53,8;46,2;45,9;44,2;10,3;7;9,5;26,5;41,2;17,6;14,7;0
6;Ablitas;2.481;-0,1;50,5;49,5;44,7;56,7;13,9;8,5;10,4;38,5;36,6;20,6;2,3;1,9
7;Adiós;155;-0,6;56,1;43,9;47,7;39,6;6,5;8,4;7,1;18,2;0;81,8;0;0
8;Aguilar de codés;67;-6,9;58,2;41,8;57,4;97,1;7,5;19,4;0;0;0;0;0;0
9;Aibar / Oibar;805;1,8;52,8;47,2;49,1;59,1;8,9;12,8;4,3;65,7;2,9;28,6;2,9;0
10;Altsasu / Alsasua;7.443;0,5;50,5;49,5;43,7;51,4;14,5;6,4;7,6;44,1;32,9;17,4;5,3;0,4
11;Allín / Allin;872;2,6;53,3;46,7;46,4;70;14;8,4;3,1;44,4;14,8;40,7;0;0
12;Allo;968;-1,5;49,7;50,3;47,8;78,3;13,1;10,5;8,2;17,7;64,6;17,7;0;0
13;Améscoa baja;724;-0,8;54,3;45,7;50,5;63,4;9,5;11,9;1,1;0;0;100;0;0
14;Ancín / Antzin;337;-0,9;57;43;46;53,2;12,2;9,8;8,9;43,3;36,7;20;0;0
15;Andosilla;2.743;1;50,9;49,1;43,3;50,2;13,8;7,3;14;14,9;73,4;10,7;1;0
16;Ansoáin / Antsoain;10.833;0,9;49;51;40;50;18;2,9;7,8;50,9;21;20,3;7,6;0,2
17;Anue;482;-0,6;53,3;46,7;43,5;61,7;17;7,1;3,9;68,4;10,5;21,1;0;0
18;Añorbe;581;2,3;54,6;45,4;40,9;49;17,2;6;8,6;32;28;40;0;0
19;Aoiz / Agoitz;2.695;2,7;51,1;48,9;40,7;54,4;18,4;5,3;15,3;54,7;26,2;10,9;5,8;2,4
